Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37),[CH]1CC1(94),C[CH]C(36)
3.197697467287592e-13,0.13078664530347386,0.46346346346346345,0.0,0.0,0.0,0.07307306739140204,0.0,2.880581952129287e-12,1.432064771727792e-16,2.3640572200181176e-17,7.214287627940436e-14,1.88191539410944e-19,2.0030326266359432e-12,9.643513196984353e-19,0.0,0.46346346346346334,1.8596142663095145e-11,3.864360911328477e-09,3.865534808930404e-09,3.5943655822503288e-09,1.034214943533444e-11,7.975588193404277e-12,7.466182943387682e-15,9.977820522860073e-20,1.554489458014673e-20,7.533904640948959e-26,8.756239003646586e-20,3.455769457689864e-21,2.7430406668060274e-26,1.637892228705361e-13
4.191156907305718e-13,0.13078664553461358,0.46346346346346345,0.0,0.0,0.0,0.07307306562622269,0.0,4.947849678332863e-12,2.460087542166067e-16,4.0605696462974554e-17,1.2393489943190636e-13,4.1214585882689977e-19,3.4404120447973537e-12,1.6564584118627669e-18,0.0,0.4634634634634633,2.4482735861296166e-11,5.064659639802018e-09,5.0666760873012086e-09,4.710155919554091e-09,1.3554106364910454e-11,1.0450420104007912e-11,1.2823113569094388e-14,1.7398552901263607e-19,3.4661194426539756e-20,1.7040238521872872e-25,1.8602140663531542e-19,7.567892158472712e-21,7.373601974365113e-26,2.813010229585746e-13
5.184616347323844e-13,0.130786645765828,0.46346346346346345,0.0,0.0,0.0,0.07307306386104337,0.0,7.570659100796354e-12,3.7646030764905167e-16,6.212936347749901e-17,1.8965943907597294e-13,7.661222839299298e-19,5.263975762085449e-12,2.534584016473152e-18,0.0,0.46346346346346323,3.0421087071598683e-11,6.2648258997224694e-09,6.267911392073751e-09,5.82551708783881e-09,1.6765523920380976e-11,1.2923821325829394e-11,1.961866624014213e-14,2.686904051592525e-19,6.518796114876197e-20,3.2345973873365326e-25,3.356950294673048e-19,1.406700474787444e-20,1.618354511898625e-25,4.303664663938551e-13
7.171535227360095e-13,0.13078664622848063,0.46346346346346345,0.0,0.0,0.0,0.07307306033068481,0.0,1.4482320681435705e-11,7.203191958991274e-16,1.1884668792037907e-16,3.6291448009683467e-13,1.976242972163387e-18,1.0069113021505356e-11,4.848739073334173e-18,0.0,0.4634634634634629,4.2453082970702835e-11,8.664761067269934e-09,8.67066401651272e-09,8.054952522335623e-09,2.318674140701722e-11,1.7866334962453477e-11,3.7522591874239474e-14,5.1954929577972585e-19,1.7055119017085757e-19,8.557739481346649e-25,8.17813618847899e-19,3.628300251368586e-20,5.414241577044475e-25,8.230841189944513e-13
9.158454107396346e-13,0.13078664669143175,0.46346346346346345,0.0,0.0,0.0,0.07307305680032636,0.0,2.361430728928464e-11,1.1748003397440941e-15,1.9378035325449154e-16,5.919261853607899e-13,4.0609769747521414e-18,1.6417269973424084e-11,7.906488433971218e-18,0.0,0.4634634634634627,5.4692172394796e-11,1.1064166529404217e-08,1.107379254314289e-08,1.0282673194061297e-08,2.9605802972440005e-11,2.2803136150828177e-11,6.11713740647889e-14,8.522611855685363e-19,3.534264113974155e-19,1.7851889557918495e-24,1.5917529958238388e-18,7.455108898962648e-20,1.3531593593364187e-24,1.3417818072303526e-12
1e-12,0.13078664715468108,0.46346346346346345,0.0,0.0,0.0,0.07307305530506722,0.0,2.8151127540327927e-11,1.4006459755194944e-15,2.3100647798397e-16,7.057359206357922e-13,5.2697319465144036e-18,1.957085547649874e-11,9.425661590567267e-18,0.0,0.46346346346346246,5.99383973758935e-11,1.2080258632095054e-08,1.2091734468979501e-08,1.122569242994948e-08,3.232390290377768e-11,2.4892364201406626e-11,7.291784618704806e-14,1.017830822085932e-18,4.59830743870071e-19,2.327467742820924e-24,2.018924495823739e-18,9.673752712161286e-20,1.8876716284732643e-24,1.5994102781420798e-12
1.1145372987432597e-12,0.13078664715468108,0.46346346346346345,0.0,0.0,0.0,0.073073053269968,0.0,3.496529414227042e-11,1.739921852036293e-15,2.8691753433188834e-16,8.767136791078931e-13,7.275372124871577e-18,2.4307211210220337e-11,1.1707487008600446e-17,0.0,0.46346346346346223,6.713839957015975e-11,1.3463042407568927e-08,1.34772968255903e-08,1.2508680479265115e-08,3.602270975027094e-11,2.7734232302178097e-11,9.05580877138528e-14,1.2667271092803426e-18,6.36732190353991e-19,3.23044996184626e-24,2.7043260021886368e-18,1.3354852414394807e-19,2.8451738465074876e-24,1.98629085246564e-12
1.3132291867468848e-12,0.13078664761822845,0.46346346346346345,0.0,0.0,0.0,0.07307304973960976,0.0,4.853396899170713e-11,2.4157016974489353e-15,3.9824552752399166e-16,1.2172958899932214e-12,1.1872097664578808e-17,3.373771302101059e-11,1.625139296064592e-17,0.0,0.4634634634634618,7.97918083058542e-11,1.5861388822095662e-08,1.5881176718797256e-08,1.4732975741167475e-08,4.243746286407656e-11,3.2659630754504395e-11,1.2567587681282563e-13,1.762849882481339e-18,1.0431627946459564e-18,5.309139840109545e-24,4.187055689582427e-18,2.1790678413566227e-19,5.32584316316805e-24,2.7564442044081007e-12
1.710612962754135e-12,0.13078664854621683,0.46346346346346345,0.0,0.0,0.0,0.07307304267889357,0.0,8.231935575539872e-11,4.099305271433711e-15,6.754252892312013e-16,2.0659167654103452e-12,2.618040336505097e-17,5.72157110340161e-11,2.7566617304199857e-17,0.0,0.46346346346346073,1.0572033809534573e-10,2.065649372168143e-08,2.069006278123691e-08,1.91764354167851e-08,5.5260512408603897e-11,4.249336264593958e-11,2.1307844659376154e-13,2.9996908498585526e-18,2.3122564532204136e-18,1.1816833005536392e-23,8.325765116998922e-18,4.80431858065182e-19,1.4797061944362684e-23,4.6730442326487764e-12
2.1079967387613854e-12,0.1307866494753955,0.46346346346346345,0.0,0.0,0.0,0.0730730356181778,0.0,1.2496028296821857e-10,6.2257506026116184e-15,1.0252210528993085e-15,3.1379351666356416e-12,4.894664968790178e-17,8.684176773402933e-11,4.184950789054581e-17,0.0,0.4634634634634594,1.324781012469988e-10,2.544948216333004e-08,2.550044960324101e-08,2.3613062799832203e-08,6.807496033793026e-11,5.230438871186548e-11,3.233259436646321e-13,4.562027234537705e-18,4.33664287086423e-18,2.2219821110138232e-23,1.4142384535138575e-17,8.980315074227358e-19,3.296137594654437e-23,7.090286231240514e-12
