Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90)
9.828176957414064e-10,0.13079087717247906,0.46346346346346345,0.0,0.0,0.0,0.0730555959676352,0.0,1.4588257890444226e-05,1.5849143976145764e-09,1.0126049680066013e-10,2.881054154140158e-07,2.495137214550295e-09,7.77943977177945e-06,5.5444425193464855e-12,0.0,0.4634634757935771,2.4957182311765617e-06,7.2283356809289204e-06,1.4343256780633143e-05,3.0463053878900132e-06,2.0770354862414017e-08,7.361816988689336e-09,2.557529707329826e-08,3.643967412619726e-13,1.885487667927656e-10,9.768399506824896e-16
9.999999999999999e-10,0.13079099627720095,0.46346346346346345,0.0,0.0,0.0,0.07305528989237552,0.0,1.4988699140097222e-05,1.6433271790199868e-09,1.0395864757467151e-10,2.95035274010515e-07,2.6040110298918286e-09,7.961957293023747e-06,5.7041255515238805e-12,0.0,0.46346347647920144,2.5822783045792785e-06,7.297356643934672e-06,1.4609490770165941e-05,3.0519376589068847e-06,2.1122772859052927e-08,7.483881983114727e-09,2.63132054686141e-08,3.749109860794303e-13,1.9712303637860538e-10,1.0212621539121172e-15
1.004740090582674e-09,0.13079099627720095,0.46346346346346345,0.0,0.0,0.0,0.07305520545043456,0.0,1.5099716672688709e-05,1.6596346703062298e-09,1.0470732056930059e-10,2.969508706908592e-07,2.6344936467972534e-09,8.012368421560236e-06,5.748434867301731e-12,0.0,0.4634634766727525,2.6064139965346634e-06,7.316166661651837e-06,1.4682908473805662e-05,3.0534328907554856e-06,2.1220640868862273e-08,7.51794245173792e-09,2.651890006074697e-08,3.778418718522973e-13,1.995313944451046e-10,1.0337395528227729e-15
1.0266624854239417e-09,0.1307911160463894,0.46346346346346345,0.0,0.0,0.0,0.07305481488834363,0.0,1.5616202794719983e-05,1.7361417275449685e-09,1.0819435305687513e-10,3.058314961646134e-07,2.7779945259703685e-09,8.245835360471412e-06,5.954791632697517e-12,0.0,0.46346347759308276,2.7194789373556544e-06,7.401883425045484e-06,1.5022277415325676e-05,3.060035764277795e-06,2.1677006004656237e-08,7.677650414412805e-09,2.7482364413451592e-08,3.9157002557335464e-13,2.1091484658256582e-10,1.0927157872041867e-15
1.0485848802652093e-09,0.1307912364680049,0.46346346346346345,0.0,0.0,0.0,0.07305442428040464,0.0,1.6137624845344236e-05,1.8144363968803275e-09,1.1172193548920697e-10,3.1474619274125816e-07,2.92565124139466e-09,8.479802650149932e-06,6.163471103570961e-12,0.0,0.46346347855551917,2.834908599386792e-06,7.485536829401966e-06,1.5361314911501838e-05,3.0661539607364535e-06,2.2139693851137004e-08,7.840961108806545e-09,2.8466142746570903e-08,4.055876521066085e-13,2.2270751592612182e-10,1.153812135660086e-15
1.070507275106477e-09,0.13079135753052085,0.46346346346346345,0.0,0.0,0.0,0.07305403362566194,0.0,1.6663895223418653e-05,1.8945192959974976e-09,1.1529044049721168e-10,3.236939717828081e-07,3.077474591724635e-09,8.714235279484365e-06,6.374432909958461e-12,0.0,0.46346347956101164,2.9526982934203797e-06,7.567176509591836e-06,1.5699973829910056e-05,3.0718244155757907e-06,2.2608937651743295e-08,8.0078916229468e-09,2.9470689875825552e-08,4.1990123251533553e-13,2.349179849796837e-10,1.2170730632761763e-15
1.0924296699477446e-09,0.13079147922289133,0.46346346346346345,0.0,0.0,0.0,0.07305364292316217,0.0,1.719492989848181e-05,1.976390839887688e-09,1.1890026943857175e-10,3.326739470620659e-07,3.233474834136091e-09,8.949100943386552e-06,6.587637959096395e-12,0.0,0.4634634806105084,3.0728430986191844e-06,7.646850906493974e-06,1.603820855909819e-05,3.07708127548671e-06,2.3084960665768947e-08,8.178456235693147e-09,3.0496462435271616e-08,4.345172737988339e-13,2.475550268225758e-10,1.2825440224966038e-15
1.1143520647890123e-09,0.130791601534521,0.46346346346346345,0.0,0.0,0.0,0.0730532521719541,0.0,1.773064818849558e-05,2.060051247815662e-09,1.2255184991999264e-10,3.4168532730947797e-07,3.3936617297818263e-09,9.184369838291159e-06,6.8030483747221906e-12,0.0,0.46346348170495666,3.1953378661368183e-06,7.724607295717584e-06,1.637597496927907e-05,3.0819561092383235e-06,2.356797650914492e-08,8.352666711296673e-09,3.154391853547017e-08,4.4944230402212576e-13,2.60627605748762e-10,1.3502714564360052e-15
1.13627445963028e-09,0.13079172445523712,0.46346346346346345,0.0,0.0,0.0,0.07305286137108899,0.0,1.827097255343334e-05,2.1455005500894466e-09,1.2624563350485742e-10,3.50727409308059e-07,3.558044585792144e-09,9.420014473123103e-06,7.02062744018572e-12,0.0,0.46346348284530153,3.320177222996418e-06,7.800491815633324e-06,1.6713230373988285e-05,3.0864781025575154e-06,2.4058189482778677e-08,8.530532558553825e-09,3.261351745726545e-08,4.646828679529922e-13,2.741448777686953e-10,1.4203028014797697e-15
1.1581968544715475e-09,0.1307918479752637,0.46346346346346345,0.0,0.0,0.0,0.07305247051962051,0.0,1.8815828403542258e-05,2.2327385946371117e-09,1.2998209359225226e-10,3.5979957149558967e-07,3.726632294080283e-09,9.65600949456606e-06,7.24033954510195e-12,0.0,0.4634634840324867,3.447355576194045e-06,7.874549494730074e-06,1.704993349268325e-05,3.0906742382586824e-06,2.455579488896085e-08,8.712061258908918e-09,3.370571937694472e-08,4.802455231461766e-13,2.88116190987863e-10,1.4926864892455187e-15
1.1801192493128152e-09,0.1307919720851971,0.46346346346346345,0.0,0.0,0.0,0.07305207961660476,0.0,1.936514392118979e-05,2.3217650533954387e-09,1.3376172345434948e-10,3.689012680361517e-07,3.899433367194481e-09,9.89233152554771e-06,7.462150135294313e-12,0.0,0.4634634852674538,3.576867116995908e-06,7.946824278313619e-06,1.7386044414260904e-05,3.094569462741029e-06,2.5060979336328873e-08,8.897258467377259e-09,3.48209851190212e-08,4.961368364210871e-13,3.0255108587460746e-10,1.5674719479708532e-15
1.2020416441540828e-09,0.13079209677598402,0.46346346346346345,0.0,0.0,0.0,0.07305168866110047,0.0,1.9918849895283966e-05,2.4125794285152564e-09,1.3758503442011196e-10,3.7803202332584287e-07,4.07645597144065e-09,1.0128959015937376e-05,7.68602566579636e-12,0.0,0.4634634865511423,3.7087058254011468e-06,8.017359054563059e-06,1.772152456147168e-05,3.098186839888592e-06,2.5573921033856273e-08,9.086128189696199e-09,3.595977593333218e-08,5.123633806859154e-13,3.174592954283526e-10,1.6447096033850543e-15
1.2239640389953505e-09,0.13079222203890054,0.46346346346346345,0.0,0.0,0.0,0.07305129765216906,0.0,2.047687956733487e-05,2.5051810583880835e-09,1.4145255419423217e-10,3.871914269002177e-07,4.257707957482255e-09,1.0365872104529607e-05,7.911933556696709e-12,0.0,0.4634634878844899,3.842865474744421e-06,8.086195679960454e-06,1.805633665620815e-05,3.1015476933280707e-06,2.6094790074315794e-08,9.278672938667613e-09,3.712255329357534e-08,5.289317320672772e-13,3.328507452579891e-10,1.7244508791154024e-15
1.245886433836618e-09,0.13079234786553248,0.46346346346346345,0.0,0.0,0.0,0.07305090658887457,0.0,2.1039168488297e-05,2.5995691234986693e-09,1.4536482530110642e-10,3.963791287135193e-07,4.443196888607869e-09,1.06030524914596e-05,8.139842151628814e-12,0.0,0.46346348926843195,3.979339636414911e-06,8.15337500410874e-06,1.8390444685647017e-05,3.1046717379249756e-06,2.6623748707644183e-08,9.474893872265848e-09,3.83097787147843e-08,5.458484673096211e-13,3.487355535789563e-10,1.806748196672206e-15
1.2678088286778857e-09,0.1307924742477578,0.46346346346346345,0.0,0.0,0.0,0.07305051547028392,0.0,2.1605654385397338e-05,2.6957426521078833e-09,1.4932240364443584e-10,4.055948347620374e-07,4.6329300668423205e-09,1.0840483320261772e-05,8.369720678721672e-12,0.0,0.46346349070390136,4.118121684670448e-06,8.21893689395265e-06,1.8723813869224005e-05,3.1075772013314007e-06,2.7160951604617013e-08,9.674790915763138e-09,3.95219135875554e-08,5.631201614132646e-13,3.6512403113656254e-10,1.8916549750515858e-15
1.2897312235191534e-09,0.1307926011777296,0.46346346346346345,0.0,0.0,0.0,0.07305012429546684,0.0,2.2176277038212807e-05,2.7937005257703733e-09,1.5332585717376452e-10,4.1483830302597687e-07,4.8269145570642565e-09,1.1078149068841641e-05,8.60153921384111e-12,0.0,0.46346349219182886,4.2592048015273125e-06,8.28292025741699e-06,1.9056410626421248e-05,3.110280936338115e-06,2.770654611122414e-08,9.878362869853795e-09,4.0759419027100415e-08,5.80753385483768e-13,3.820266810622413e-10,1.9792256299909352e-15
