Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15)
9.415706886755232e-12,0.13078666670153155,0.46346346346346345,0.0,0.0,0.0,0.07307290631458739,0.0,2.4771614547741124e-09,1.123860295058802e-13,9.203917412909527e-15,5.940051445326245e-11,2.5708149669435197e-15,1.7114816872357351e-09,8.307347212420595e-16,0.0,0.4634634634633375,2.3216767841448232e-10,1.1321420073352391e-07,1.1422752577700388e-07,1.041315991520021e-07
1e-11,0.1307866688393471,0.46346346346346345,0.0,0.0,0.0,0.07307289596637691,0.0,2.792684479532185e-09,1.2678650358051427e-13,1.0374612284090736e-14,6.695487852003446e-11,3.0781378886832412e-15,1.9291421734689918e-09,9.3665252636695e-16,0.0,0.4634634634633213,2.61859041382036e-10,1.2020077619168992e-07,1.2134344893371135e-07,1.1047816987323273e-07
1.0310275273664369e-11,0.1307866688393471,0.46346346346346345,0.0,0.0,0.0,0.07307289047120091,0.0,2.967851132579021e-09,1.3478726866557647e-13,1.1024421492277368e-14,7.114794408773257e-11,3.372717955638816e-15,2.0499550681592166e-09,9.954616746225146e-16,0.0,0.4634634634633123,2.783511972814345e-10,1.2390899148865156e-07,1.2512349314787016e-07,1.1384295742305947e-07
1.1204843660573506e-11,0.13078667098303579,0.46346346346346345,0.0,0.0,0.0,0.07307287462781788,0.0,3.5024068069040617e-09,1.592288403782424e-13,1.3006955657969744e-14,8.394042928887804e-11,4.325560718714164e-15,2.418539081846502e-09,1.1749607283060201e-15,0.0,0.46346346346328476,3.2871617179153215e-10,1.3459315872585214e-07,1.3602694325877757e-07,1.2352315751251253e-07
1.2099412047482643e-11,0.13078667313258377,0.46346346346346345,0.0,0.0,0.0,0.07307285878443828,0.0,4.080723409224985e-09,1.8571215829484723e-13,1.51510133148978e-14,9.777461505539157e-11,5.4421861250157876e-15,2.8171370488664126e-09,1.3692041451427527e-15,0.0,0.4634634634632549,3.8326141106811434e-10,1.452667129974885e-07,1.4693786340548864e-07,1.3317229944246658e-07
1.299398043439178e-11,0.1307866752879766,0.46346346346346345,0.0,0.0,0.0,0.0730728429410621,0.0,4.702696341992049e-09,2.142386326842928e-13,1.745609050638695e-14,1.126471623793665e-10,6.735375807156554e-15,3.245652750662778e-09,1.578164299327325e-15,0.0,0.46346346346322254,4.4198573473485627e-10,1.5592966484033233e-07,1.5785624090479115e-07,1.4279048275821736e-07
1.3888548821300916e-11,0.13078667744920058,0.46346346346346345,0.0,0.0,0.0,0.07307282709768938,0.0,5.368221117897808e-09,2.448096730259632e-13,1.9921683890039222e-14,1.2855473599662167e-10,8.217897063573419e-15,3.7039900765607275e-09,1.801813591116287e-15,0.0,0.46346346346318784,5.048879648715814e-10,1.6658202478750703e-07,1.6878206307839465e-07,1.5237780689344898e-07
1.478311720821005e-11,0.1307866796162413,0.46346346346346345,0.0,0.0,0.0,0.0730728112543201,0.0,6.077193762044226e-09,2.7742668511073723e-13,2.2547292993020286e-14,1.4549401804223373e-10,9.902450573665073e-15,4.192053417272375e-09,2.0401245419260233e-15,0.0,0.46346346346315076,5.719669349641766e-10,1.7722380335512208e-07,1.797153172709516e-07,1.619343707631233e-07
1.5677685595119188e-11,0.1307866817890849,0.46346346346346345,0.0,0.0,0.0,0.07307279541095422,0.0,6.829510584751107e-09,3.120910726683424e-13,2.5332418936745852e-14,1.6346170033483415e-10,1.1801699939991459e-14,4.709747442556664e-09,2.2930697406337634e-15,0.0,0.4634634634631113,6.432214848274895e-10,1.87855011049762e-07,1.906559908399582e-07,1.7146027299350695e-07
1.6572253982028325e-11,0.1307866839677175,0.46346346346346345,0.0,0.0,0.0,0.07307277956759181,0.0,7.625068099433117e-09,3.488042379636322e-13,2.8276563977762286e-14,1.8245448158873052e-10,1.3928282362633409e-14,5.2569770208822735e-09,2.5606218241482557e-15,0.0,0.46346346346306927,7.18650458788163e-10,1.984756583712432e-07,2.0160407115203728e-07,1.809556120052868e-07
1.746682236893746e-11,0.130786686152125,0.46346346346346345,0.0,0.0,0.0,0.07307276372423281,0.0,8.463763175160662e-09,3.8756758068771307e-13,3.137923236069738e-14,2.0246907259280047e-10,1.6294788810004446e-14,5.833647368665573e-09,2.8427535135066465e-15,0.0,0.46346346346302486,7.982527090584387e-10,2.0908575580748597e-07,2.1255954558985173e-07,1.9042048585917137e-07
1.8361390755846598e-11,0.13078668834229373,0.46346346346346345,0.0,0.0,0.0,0.07307274788087727,0.0,9.345492970865687e-09,4.283824984330782e-13,3.463992994976934e-14,2.2350219397656509e-10,1.8913772572212224e-14,6.439663985896509e-09,3.1394375983145388e-15,0.0,0.463463463462978,8.820270942744337e-10,2.1968531383670687e-07,2.235224015491489e-07,1.9985499232249105e-07
1.9255959142755735e-11,0.1307866905382098,0.46346346346346345,0.0,0.0,0.0,0.07307273203752514,0.0,1.0270154900846684e-08,4.712503869398823e-13,3.805816403584328e-14,2.455505750386601e-10,2.1797753746658166e-14,7.0749326223791784e-09,3.450646928593306e-15,0.0,0.4634634634629287,9.69972478724894e-10,2.3027434292855437e-07,2.344926264372286e-07,2.092592289041248e-07
2.0558760338278426e-11,0.13078669374647495,0.46346346346346345,0.0,0.0,0.0,0.07307270896412697,0.0,1.1693362598824867e-08,5.373557752839393e-13,4.3317062752307815e-14,2.794698802201503e-10,2.6497493295951746e-14,8.05223180798425e-09,3.9298002100144165e-15,0.0,0.46346346346285233,1.1055095153140326e-09,2.4567682332737424e-07,2.504822253321472e-07,2.229011102355731e-07
2.1861561533801116e-11,0.13078669696685816,0.46346346346346345,0.0,0.0,0.0,0.07307268589073607,0.0,1.320709586860277e-08,6.078226466612048e-13,4.8907539456722265e-14,3.155255690159358e-10,3.182406677090261e-14,9.091085159996438e-09,4.4396200753141545e-15,0.0,0.4634634634627707,1.2498871653295124e-09,2.6105702687066463e-07,2.664873878601729e-07,2.3647929543450616e-07
2.3164362729323807e-11,0.130786700199317,0.46346346346346345,0.0,0.0,0.0,0.07307266281735246,0.0,1.4811041678811062e-08,6.826552843091894e-13,5.4828093681453184e-14,3.537076690741307e-10,3.781564776887683e-14,1.0191205310053672e-08,4.980023571216838e-15,0.0,0.46346346346268363,1.4031020054611263e-09,2.764149857678696e-07,2.8250807529921376e-07,2.4999408180499254e-07
2.4467163924846497e-11,0.13078670344380963,0.46346346346346345,0.0,0.0,0.0,0.07307263974397614,0.0,1.650488830124994e-08,7.618579619210851e-13,6.107723222625684e-14,3.9400625226991953e-10,4.4510240548546704e-14,1.1352306164266163e-08,5.550928052963616e-15,0.0,0.46346346346259126,1.5651506410546806e-09,2.917507321841692e-07,2.9854424898684916e-07,2.6344576533256317e-07
2.5769965120369188e-11,0.13078670670029405,0.46346346346346345,0.0,0.0,0.0,0.0730726166706071,0.0,1.828832535716178e-08,8.454349432848437e-13,6.765346941332633e-14,4.364114362729495e-10,5.194567402857022e-14,1.2574102948383285e-08,6.1522511953167855e-15,0.0,0.4634634634624935,1.736029707084033e-09,3.070642982387787e-07,3.145958703226206e-07,2.768346406374831e-07
2.837556751141457e-11,0.1307867132490716,0.46346346346346345,0.0,0.0,0.0,0.0730725705238909,0.0,2.2122736030829495e-08,1.0257288224941252e-12,8.178133475133798e-14,5.275023073186596e-10,6.918949836155656e-14,1.5198651835390708e-08,7.445825765840349e-15,0.0,0.46346346346228134,2.104265818744116e-09,3.3762501750787557e-07,3.4674530184934e-07,3.034251382052723e-07
