Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78)
4.531521389498923e-12,0.13078665516787458,0.46346346346346345,0.0,0.0,0.0,0.07307299255699497,0.0,5.762842176438025e-10,2.878836856684116e-14,4.723706930434105e-15,1.4407265812527773e-11,4.850090196725404e-16,4.0022476317182457e-10,1.930798886318951e-16,0.0,0.46346346346344647,3.1352242529331387e-10,5.463472414699551e-08,5.4869978702647255e-08,5.055598086926143e-08,1.4604075506178e-10,1.116506988614794e-10,1.487173030291236e-12,2.13888851388537e-17
5.23931240726081e-12,0.1307866568386673,0.46346346346346345,0.0,0.0,0.0,0.07307297998096765,0.0,7.698782866953757e-10,3.849094493208322e-14,6.309301450991277e-15,1.924346244538714e-11,7.491388562459405e-16,5.345607072341744e-10,2.579771909153541e-16,0.0,0.4634634634634411,3.722005262925707e-10,6.314346663511538e-08,6.345784440128723e-08,5.837851590792042e-08,1.6875066980655425e-10,1.2882570380097743e-10,1.9853130190986636e-12,2.857094348546875e-17
5.947103425022696e-12,0.13078665851320062,0.46346346346346345,0.0,0.0,0.0,0.07307296740494142,0.0,9.91309908595033e-10,4.960231090948603e-14,8.122349581639175e-15,2.4773473003663053e-11,1.09491335038657e-15,6.881643028837477e-10,3.3222138282067516e-16,0.0,0.46346346346343514,4.3349980720179066e-10,7.164552110054871e-08,7.20504394874538e-08,6.618121391469258e-08,1.914335415200961e-10,1.459302583019544e-10,2.5544584981745816e-12,3.677895361864064e-17
7.362685460546469e-12,0.1307866618734602,0.46346346346346345,0.0,0.0,0.0,0.07307294225289211,0.0,1.5174744574170633e-09,7.605453876988917e-14,1.2428530243345821e-14,3.790804961880496e-11,2.0750262521252583e-15,1.0529786081256127e-09,5.08694720965879e-16,0.0,0.4634634634634214,5.639593445099186e-10,8.862958698347472e-08,8.924979249917765e-08,8.172730009211771e-08,2.3671835170664517e-10,1.7992926855958146e-10,3.9046020304974e-12,5.625601212352412e-17
8.778267496070242e-12,0.13078666524859592,0.46346346346346345,0.0,0.0,0.0,0.07307291710084671,0.0,2.15435649203846e-09,1.0815129570831866e-13,1.763771251874094e-14,5.3797269072203915e-11,3.512314429358341e-15,1.494277317631813e-09,7.223887895158388e-16,0.0,0.46346346346340533,7.048959387399208e-10,1.0558696379218042e-07,1.0646798715053156e-07,9.71946405695016e-08,2.8189557677444693e-10,2.136502208102406e-10,5.535289523656235e-12,7.978662421231517e-17
1e-11,0.13078666863855093,0.46346346346346345,0.0,0.0,0.0,0.07307289539312045,0.0,2.7927153742858425e-09,1.4039552001964767e-13,2.2856071346556974e-14,6.971478229646583e-11,5.186731251882085e-15,1.9363375424677227e-09,9.366589565431598e-16,0.0,0.46346346346338985,8.349520279190115e-10,1.2020077573350757e-07,1.2134343483956433e-07,1.1048088379289715e-07,3.208000459917066e-10,2.4253177874712837e-10,7.166458760636199e-12,1.033284474180894e-16
1.0193849531594015e-11,0.13078666863855093,0.46346346346346345,0.0,0.0,0.0,0.07307289194880488,0.0,2.9015366666623297e-09,1.4589880919198102e-13,2.3745384993850164e-14,7.242747455084586e-11,5.4932996329270514e-15,2.0116720740684922e-09,9.731929538909783e-16,0.0,0.46346346346338724,8.563045368830622e-10,1.2251769345635823e-07,1.2370497294416945e-07,1.1258363446415429e-07,3.2696560703357243e-10,2.470955850950328e-10,7.444227589825653e-12,1.0733765276473673e-16
1.1609431567117788e-11,0.13078667204326855,0.46346346346346345,0.0,0.0,0.0,0.07307286679676636,0.0,3.7585976262132815e-09,1.893032908517392e-13,3.074706079726363e-14,9.378507779316125e-11,8.104066481808017e-15,2.6047764888253167e-09,1.2609970500975286e-15,0.0,0.4634634634633673,1.0181801305468864e-09,1.3942181784011805e-07,1.4096069947120036e-07,1.278946788786997e-07,3.719288319636425e-10,2.8026781075446996e-10,9.629143132265538e-12,1.388762538450147e-16
1.4440595638165334e-11,0.13078667889676626,0.46346346346346345,0.0,0.0,0.0,0.07307281649269798,0.0,5.800702350483173e-09,2.9310792636643524e-13,4.741459654618136e-14,1.4462846440827145e-10,1.5557116529500823e-14,4.016578498824451e-09,1.9471667160571452e-15,0.0,0.463463463463323,1.3733124914613721e-09,1.7315041789596563e-07,1.7552817353072943e-07,1.5828449768960176e-07,4.615364196095882e-10,3.4580254148781924e-10,1.4817914311906255e-11,2.1378624350379617e-16
1.727175970921288e-11,0.13078668580864128,0.46346346346346345,0.0,0.0,0.0,0.0730727661886391,0.0,8.277371325922386e-09,4.1961457944287727e-13,6.760491155445657e-14,2.0622008299176693e-10,2.6551469494305502e-14,5.72663129569111e-09,2.780025816730108e-15,0.0,0.463463463463274,1.770253836647558e-09,2.0677309756285083e-07,2.1017000782439534e-07,1.88367233851896e-07,5.507214389368327e-10,4.102735996514116e-10,2.108381829884901e-11,3.042596214227365e-16
