Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20)
1.6106054017922254e-11,0.13078668290070888,0.46346346346346345,0.0,0.0,0.0,0.07307278730312405,0.0,7.205208267255763e-09,3.470949364656623e-13,4.279562390686817e-14,1.7956524927930803e-10,1.7132139314352215e-14,4.968237357983153e-09,2.419394567042223e-15,0.0,0.46346346346316325,1.1998025889971441e-09,1.9294207604752066e-07,1.95897590552498e-07,1.760179502855794e-07,5.140276723890091e-10
1.8746137149554157e-11,0.13078668936664142,0.46346346346346345,0.0,0.0,0.0,0.07307274046016825,0.0,9.738131230713082e-09,4.705345790106481e-13,5.779795435807298e-14,2.425153524404425e-10,2.6950181926952282e-14,6.709505955860897e-09,3.271550172062727e-15,0.0,0.46346346346306183,1.5257021578685927e-09,2.2424085571531552e-07,2.282396763804559e-07,2.0391279323058873e-07,5.969690674299745e-10
2.138622028118606e-11,0.1307866958826325,0.46346346346346345,0.0,0.0,0.0,0.07307269361723154,0.0,1.2644627601438666e-08,6.128202625872745e-13,7.49941955885077e-14,3.1467160766073033e-10,3.9921974648140117e-14,8.705227269201304e-09,4.2501218626904466e-15,0.0,0.46346346346294715,1.8879185386580078e-09,2.5544796952254274e-07,2.606458960905498e-07,2.3154470242941132e-07,6.795465874676817e-10
2.4026303412817964e-11,0.13078670244832932,0.46346346346346345,0.0,0.0,0.0,0.07307264677431295,0.0,1.592208480193216e-08,7.739896159712643e-13,9.43641531453324e-14,3.959491300514441e-10,5.647493912839262e-14,1.0953002411625373e-08,5.354417433915026e-15,0.0,0.46346346346281975,2.2864222326565073e-09,2.865636858741009e-07,2.9311592695303463e-07,2.589161579628596e-07,7.617628592519993e-10
2.6666386544449867e-11,0.13078670906338224,0.46346346346346345,0.0,0.0,0.0,0.07307259993141148,0.0,1.9567913386028263e-08,9.54080088904296e-13,1.1588784410249942e-13,4.862638316172623e-10,7.703247303268031e-14,1.3450455119641211e-08,6.583750158586687e-15,0.0,0.4634634634626802,2.7211842504246783e-09,3.1758827238903896e-07,3.256494472975792e-07,2.860296165194998e-07,8.436204960000281e-10
3.194655280771367e-11,0.13078672244017311,0.46346346346346345,0.0,0.0,0.0,0.07307250624565605,0.0,2.795444135227564e-08,1.3711733015174166e-12,1.6531754024674515e-13,6.936723621808319e-10,1.3183493730875437e-13,1.9185000075914166e-08,9.414807270732778e-15,0.0,0.46346346346236655,3.6993698088320727e-09,3.793651224690987e-07,3.9090567503037765e-07,3.3949225375406774e-07,1.0062702500613923e-09
3.7226719070977476e-11,0.13078673601026944,0.46346346346346345,0.0,0.0,0.0,0.0730724125599574,0.0,3.778395050248791e-08,1.864395946152087e-12,2.2312757290336853e-13,9.362401532370292e-10,2.0763749914631988e-13,2.5890296484522563e-08,1.273790710877417e-14,0.0,0.46346346346201095,4.822253240560777e-09,4.407806450852623e-07,4.5641202699346434e-07,3.919518080740853e-07,1.167516487830225e-09
4.250688533424128e-11,0.1307867497709834,0.46346346346346345,0.0,0.0,0.0,0.07307231887430775,0.0,4.903653644329123e-08,2.434041251609685e-12,2.891654843207209e-13,1.2133224397570587e-09,3.076863026493084e-13,3.354812724770838e-08,1.6547748161096694e-14,0.0,0.4634634634616176,6.089620313149105e-09,5.018369531323844e-07,5.221659676391154e-07,4.4342711301424974e-07,1.3273796361512552e-09
4.778705159750509e-11,0.13078676371967524,0.46346346346346345,0.0,0.0,0.0,0.0730722251886993,0.0,6.169264483777177e-08,3.0803996529296507e-12,3.6328200663565573e-13,1.5242865101741712e-09,4.351666666431026e-13,4.214061731820617e-08,2.0839112006289394e-14,0.0,0.46346346346119094,7.50126433777966e-09,5.62536147149456e-07,5.881649780674787e-07,4.939366484309756e-07,1.4858799130656505e-09
5.3067217860768895e-11,0.13078677785375087,0.46346346346346345,0.0,0.0,0.0,0.07307213150312429,0.0,7.573306494882128e-08,3.8037588144138016e-12,4.4533099937052853e-13,1.86851148194738e-09,5.932042305175454e-13,5.165022728560256e-08,2.5606861844582642e-14,0.0,0.4634634634607356,9.056985975387315e-09,6.228803153919576e-07,6.544065559260121e-07,5.434985471356219e-07,1.6430373303209287e-09
5.83473841240327e-11,0.13078679217066227,0.46346346346346345,0.0,0.0,0.0,0.07307203781757497,0.0,9.113892327586208e-08,4.604403652424109e-12,5.351693879069971e-13,2.2453880803799794e-09,7.848660833274409e-13,6.205974705608463e-08,3.084594104999669e-14,0.0,0.463463463460256,1.0756593045971801e-08,6.828715339041741e-07,7.208882153089919e-07,5.921306014311231e-07,1.7988716958550783e-09
6.890771665056031e-11,0.1307868213430234,0.46346346346346345,0.0,0.0,0.0,0.07307185044652267,0.0,1.259731097759452e-07,6.438676416788643e-12,7.376570262411287e-13,3.0947158122199166e-09,1.2810448213196462e-12,8.551128548554764e-08,4.271825350884202e-14,0.0,0.46346346345924266,1.458672945596485e-08,8.01803365285603e-07,8.545619166663764e-07,6.866746814501344e-07,2.1066494989758865e-09
7.841201592443516e-11,0.1307868481987892,0.46346346346346345,0.0,0.0,0.0,0.07307168181258641,0.0,1.6181102431708318e-07,8.356641720835553e-12,9.45160979601444e-13,3.96489718485489e-09,1.8722096412617565e-12,1.0952923622873246e-07,5.496614502374574e-14,0.0,0.4634634634582942,1.852415252563264e-08,9.076555048267725e-07,9.75664721336915e-07,7.687560299373397e-07,2.3793193107368335e-09
8.791631519831e-11,0.13078687560931224,0.46346346346346345,0.0,0.0,0.0,0.07307151317861416,0.0,2.0179420520240214e-07,1.0529320370929456e-11,1.1758113696363028e-12,4.93190246426919e-09,2.6174551167094846e-12,1.3620965304127527e-07,6.866602026817952e-14,0.0,0.46346346345733935,2.292508352188456e-08,1.0123958232681764e-06,1.0975074706203359e-06,8.480864891932005e-07,2.6480014268695047e-09
