Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40)
3.027785103747226e-13,0.13078664526394926,0.46346346346346345,0.0,0.0,0.0,0.07307306769330245,0.0,2.5826938570958053e-12,1.28391377980237e-16,2.1195130249096368e-17,6.464185365418281e-14,1.5976570890520516e-19,1.7959223638747978e-12,8.646156279286229e-19,0.0,0.46346346346346334,1.7594495507476157e-11,3.659059356342053e-09,3.6601118256517487e-09,3.4036347011116708e-09,9.79275122167999e-12,7.552171918591421e-12,6.694066080334697e-15,8.913938185592124e-20,1.3135033038748619e-20,6.342143107458113e-26,7.48020091357758e-20
3.9684562349081813e-13,0.13078664548279326,0.46346346346346345,0.0,0.0,0.0,0.0730730660219174,0.0,4.436229025283046e-12,2.2055817979129485e-16,3.640540160930135e-17,1.110309044247021e-13,3.49896242979837e-19,3.0847263552932106e-12,1.485154931322502e-18,0.0,0.4634634634634633,2.315857174334926e-11,4.79560398107087e-09,4.7974118511196755e-09,4.460322223335265e-09,1.2834139026407667e-11,9.895769289966569e-12,1.1497124899714357e-14,1.5556766018727371e-19,2.9316148983368e-20,1.436992344995553e-25,1.5912663814969604e-19
4.909127366069137e-13,0.13078664570170415,0.46346346346346345,0.0,0.0,0.0,0.07307306435053236,0.0,6.787907289558451e-12,3.3751354855954106e-16,5.570273509963067e-17,1.6988495344022418e-13,6.504160598527994e-19,4.719833611384897e-12,2.2724865734737005e-18,0.0,0.46346346346346323,2.8769024880612167e-11,5.932029837946769e-09,5.934796179666329e-09,5.516653220178645e-09,1.5875043226949088e-11,1.2238083794979489e-11,1.7590152973315734e-14,2.4037550835721916e-19,5.517085384879033e-20,2.7308841735099793e-25,2.8752883596341043e-19
6.790469628391048e-13,0.13078664613972668,0.46346346346346345,0.0,0.0,0.0,0.07307306100776237,0.0,1.2985232350344035e-11,6.45796737614093e-16,1.0655361354393138e-16,3.2497299459732177e-13,1.6778112754179989e-18,9.028530510371476e-12,4.347405624640526e-18,0.0,0.46346346346346295,4.0129056171709905e-11,8.204525293446197e-09,8.209817691396043e-09,7.628246076922494e-09,2.195540123827339e-11,1.6918866973284483e-11,3.36435324981789e-14,4.650928772077399e-19,1.444580148756366e-19,7.235362206775862e-25,7.021390315413813e-19
8.671811890712958e-13,0.13078664657801684,0.46346346346346345,0.0,0.0,0.0,0.07307305766499247,0.0,2.117367256824668e-11,1.0532555444133246e-15,1.737370067673486e-16,5.298734301330761e-13,3.4478044788913933e-18,1.4721088731722677e-11,7.089110549352285e-18,0.0,0.4634634634634627,5.167457708030138e-11,1.0476545820841324e-08,1.0485176242741702e-08,9.738414221171953e-09,2.803382617014562e-11,2.1594527437402645e-11,5.484861652338888e-14,7.632120190594369e-19,2.994992642786547e-19,1.510630808559524e-24,1.3695898523587685e-18
1e-12,0.1307866470165744,0.46346346346346345,0.0,0.0,0.0,0.07307305530506722,0.0,2.8153004867462932e-11,1.4006440826532544e-15,2.3099624392089364e-16,7.045068995251459e-13,5.2622163399825575e-18,1.9572738191514927e-11,9.426080341258437e-18,0.0,0.46346346346346246,5.993716573612621e-11,1.2080258634713456e-08,1.2091734468889401e-08,1.1227291186694373e-08,3.2323902897839384e-11,2.489236404443917e-11,7.291808707446595e-14,1.0178341855586862e-18,4.591221986868292e-19,2.3237966355822937e-24,2.0157335341581855e-18
1.055315415303487e-12,0.1307866470165744,0.46346346346346345,0.0,0.0,0.0,0.07307305432222268,0.0,3.135217968257057e-11,1.5599053458716658e-15,2.5724159711371643e-16,7.845520327021011e-13,6.1769871927346864e-18,2.1796535890036557e-11,1.049732548682776e-17,0.0,0.46346346346346234,6.340557469134832e-11,1.2748091523233952e-08,1.2760871709432893e-08,1.1847158652140102e-08,3.4110318984881344e-11,2.6265071480259792e-11,8.119952868350776e-14,1.134648811503603e-18,5.397551226851808e-19,2.7352006559367273e-24,2.3316334348090846e-18
1.431583867767869e-12,0.13078664789449135,0.46346346346346345,0.0,0.0,0.0,0.07307304763668336,0.0,5.7675321322709796e-11,2.870837798177678e-15,4.731703972933977e-16,1.443110818653408e-12,1.5354710055688516e-17,4.009231865109849e-11,1.931221340490948e-17,0.0,0.4634634634634615,8.742394998984668e-11,1.7289758853850206e-08,1.731327290560167e-08,1.606038025686578e-08,4.6257512005102795e-11,3.559083473280682e-11,1.4931602717332486e-13,2.097151591504303e-18,1.3514740039983456e-18,6.888272789920005e-24,5.2246441787873385e-18
1.8078523202322513e-12,0.13078664877347634,0.46346346346346345,0.0,0.0,0.0,0.07307304095114442,0.0,9.194655186925922e-11,4.578713171932461e-15,7.54252521220835e-16,2.3003848700413914e-12,3.088580736065733e-17,6.390836063130058e-11,3.078993607697309e-17,0.0,0.46346346346346046,1.1218408245429138e-10,2.1829528083234172e-08,2.1867020318041284e-08,2.0267918616743638e-08,5.839698774680466e-11,4.4896205330121095e-11,2.379476533054039e-13,3.3519545142696928e-18,2.72992439800835e-18,1.3961533880844053e-23,9.547837764771623e-18
2.1841207726966334e-12,0.13078664965352835,0.46346346346346345,0.0,0.0,0.0,0.07307303426560581,0.0,1.3415782871561524e-10,6.683649693552082e-15,1.1004011695716309e-15,3.3561118436983513e-12,5.443200352762398e-17,9.323720253898207e-11,4.4928376454727986e-17,0.0,0.4634634634634592,1.3768587335099471e-10,2.6367400003812822e-08,2.6422112991579407e-08,2.4469781396967136e-08,7.052875360535985e-11,5.418123144818659e-11,3.470494329060728e-13,4.89841687670283e-18,4.8241140102254405e-18,2.4727019049665442e-23,1.5394832065089025e-17
