Time (s),Volume (m^3),Ar,He,Ne,N2,C6H14(1),C2H2(2),C2H4(3),C2H6(4),C3H8(5),C3H6(6),CH4(7),CH3(8),CH2(9),C6H6(10),H2(11),H(12),[CH2]CCC(16),C[CH2](17),[CH2]CC(15),C[CH]CCCC(20),CC[CH]CCC(18),C5H10(55),C[C]CCC(78),C5H10(81),CC[C]CC(90),C[C]C(40),C3H5(37)
3.085462383568287e-13,0.13078664527736578,0.46346346346346345,0.0,0.0,0.0,0.07307306759082141,0.0,2.68201294954849e-12,1.3332973211307782e-16,2.2010162472001657e-17,6.712757889098629e-14,1.6906994184636423e-19,1.8649821184918084e-12,8.978660532272385e-19,0.0,0.46346346346346334,1.7934323176022604e-11,3.728750041677336e-09,3.729842987267545e-09,3.468435786968661e-09,9.979247922037968e-12,7.695906583570633e-12,6.951441120302649e-15,9.268347970528e-20,1.3922804841251696e-20,6.731379695623996e-26,7.897552278163708e-20,3.104593168215435e-21
4.044052670215019e-13,0.13078664550038338,0.46346346346346345,0.0,0.0,0.0,0.0730730658875976,0.0,4.606819742286004e-12,2.290416777404221e-16,3.7805247831585975e-17,1.1530022926103496e-13,3.702724911166833e-19,3.203338618801794e-12,1.5422674670722688e-18,0.0,0.4634634634634633,2.3607739278804906e-11,4.8869365068591675e-09,4.888813903125778e-09,4.5452267596363644e-09,1.3078537215674839e-11,1.008405529229808e-11,1.1939127145689506e-14,1.617041338970063e-19,3.1063831686813645e-20,1.5242441252421265e-25,1.6792064805907878e-19,6.798882108731289e-21
5.002642956861751e-13,0.1307866457234705,0.46346346346346345,0.0,0.0,0.0,0.07307306418437381,0.0,7.0489184228319274e-12,3.504957516630144e-16,5.784447600582432e-17,1.7641695589103442e-13,6.882920708648772e-19,4.901307945178482e-12,2.359873531543359e-18,0.0,0.46346346346346323,2.9329315879914264e-11,6.044999637231271e-09,6.04787236324017e-09,5.621647504474361e-09,1.61773243146516e-11,1.2470871857084979e-11,1.8266335250916668e-14,2.498103782963438e-19,5.844667815868535e-20,2.8955170038146478e-25,3.0327306591648134e-19,1.2637664349302155e-20
6.919823530155215e-13,0.13078664616985325,0.46346346346346345,0.0,0.0,0.0,0.07307306077792629,0.0,1.3484503873826734e-11,6.706374282625842e-16,1.1065009633027385e-16,3.3746671060621976e-13,1.775510754841631e-18,9.375632792632432e-12,4.5145713056646035e-18,0.0,0.46346346346346295,4.0916944558907e-11,8.360755941490208e-09,8.366251858460644e-09,7.773378775421553e-09,2.2373392376041075e-11,1.724051148321308e-11,3.493658112078671e-14,4.832404670726737e-19,1.5299269209216247e-19,7.667711777820401e-25,7.399200407111874e-19,3.2596694020890646e-20
8.83700410344868e-13,0.1307866466165139,0.46346346346346345,0.0,0.0,0.0,0.07307305737147887,0.0,2.198771483820285e-11,1.093770211575227e-15,1.804156385228516e-16,5.502424026079112e-13,3.648560517680832e-18,1.5286978537753057e-11,7.361681881528564e-18,0.0,0.4634634634634627,5.2697196197672766e-11,1.0676019058160067e-08,1.068498134795814e-08,9.923630604917135e-09,2.8567453073939886e-11,2.2004831793958595e-11,5.695626155716556e-14,7.928895870164048e-19,3.1714001585453105e-19,1.600415326281061e-24,1.4420833991769367e-18,6.697755595648775e-20
1e-12,0.1307866470634522,0.46346346346346345,0.0,0.0,0.0,0.07307305530506722,0.0,2.8153001467027636e-11,1.4006447077131817e-15,2.309961840986638e-16,7.045067204922558e-13,5.264764492606564e-18,1.9572732964598512e-11,9.426080085256752e-18,0.0,0.46346346346346246,5.993716641583814e-11,1.2080258633799684e-08,1.2091734469032806e-08,1.1227291192053647e-08,3.232390290050348e-11,2.4892364095321203e-11,7.291794501354482e-14,1.0178322191563848e-18,4.593503520532979e-19,2.3249787875021835e-24,2.0157680374627405e-18,9.664079385031205e-20
1.0754184676742145e-12,0.1307866470634522,0.46346346346346345,0.0,0.0,0.0,0.07307305396503155,0.0,3.2557442055614324e-11,1.6199103738860273e-15,2.671291264096102e-16,8.147078137016806e-13,6.536636642254559e-18,2.2634316213176115e-11,1.0900913344507401e-17,0.0,0.46346346346346234,6.46700571304509e-11,1.2990789096345198e-08,1.3004060700231288e-08,1.2072404050317445e-08,3.475950742668811e-11,2.6763839448215808e-11,8.431915429510938e-14,1.1786687225105856e-18,5.71480907544383e-19,2.8971763489585635e-24,2.4531102730697642e-18,1.1998289940444856e-19
1.4588545823329073e-12,0.13078664795816142,0.46346346346346345,0.0,0.0,0.0,0.07307304715213721,0.0,5.989213503379711e-11,2.9812761847190248e-15,4.913534101025672e-16,1.4985671445852488e-12,1.6248616570274913e-17,4.163296922700583e-11,2.0054604570667386e-17,0.0,0.46346346346346146,8.919355393934133e-11,1.7618850361438318e-08,1.7643268481736357e-08,1.636551989729291e-08,4.713760105673071e-11,3.626594263750263e-11,1.550504248953866e-13,2.1782740559958925e-18,1.4306973551618112e-18,7.29430430072025e-24,5.488903465067131e-18,2.9818491319379966e-19
1.8422906969916e-12,0.13078664885397967,0.46346346346346345,0.0,0.0,0.0,0.07307304033924325,0.0,9.548000599636089e-11,4.754860868350031e-15,7.83230367007951e-16,2.3887648449698816e-12,3.268367720311594e-17,6.636363645717005e-11,3.197338759098483e-17,0.0,0.46346346346346035,1.1448732958631664e-10,2.2244940581161692e-08,2.22838741851544e-08,2.06527344912757e-08,5.950768114755002e-11,4.574687247369121e-11,2.470823502121371e-13,3.481371766836448e-18,2.8896838439630435e-18,1.4782178704223283e-23,1.0018323593799013e-17,5.996618024797747e-19
2.225726811650293e-12,0.13078664975090593,0.46346346346346345,0.0,0.0,0.0,0.07307303352634967,0.0,1.3931254478306095e-10,6.940789530221856e-15,1.1426681531199043e-15,3.485023326094496e-12,5.760013501783733e-17,9.681842502366169e-11,4.665502225965218e-17,0.0,0.463463463463459,1.405512796070185e-10,2.6869060594067798e-08,2.6925876799750697e-08,2.4934055943019993e-08,7.186975552489439e-11,5.520667992942971e-11,3.6036731370496913e-13,5.087283500143252e-18,5.10609769065494e-18,2.6177649863084143e-23,1.6136280713983605e-17,1.0565903721437064e-18
2.609162926308986e-12,0.13078665064893893,0.46346346346346345,0.0,0.0,0.0,0.07307302671345646,0.0,1.9138125866151283e-10,9.539187096504167e-15,1.5695751301612063e-15,4.787065635566185e-12,9.275255436611142e-17,1.3298945891711157e-10,6.40972727102833e-17,0.0,0.46346346346345746,1.673852998672624e-10,3.149121123774424e-08,3.1569275316007764e-08,2.9209492345993396e-08,8.422383200428867e-11,6.464541582086867e-11,4.94857850992024e-13,6.995333011744912e-18,8.237119312250015e-18,4.229509718622346e-23,2.3890505773861032e-17,1.7010504049768678e-18
3.3760351556263717e-12,0.13078665244832074,0.46346346346346345,0.0,0.0,0.0,0.07307301308767108,0.0,3.2019327622831825e-10,1.5973888634647258e-14,2.62543060337108e-15,8.007395349677995e-12,2.0077520916491469e-16,2.2244879621182404e-10,1.0725468478999031e-16,0.0,0.4634634634634537,2.233631357737214e-10,4.072960776923873e-08,4.086025601400871e-08,3.774274234122456e-08,1.089080225370588e-10,8.345987561939151e-11,8.272663482857598e-13,1.1715148303845225e-17,1.7870035428988518e-17,9.194477438677089e-23,4.437367101998136e-17,3.6805447702918674e-18
4.142907384943757e-12,0.13078665425211586,0.46346346346346345,0.0,0.0,0.0,0.07307299946188713,0.0,4.818482496495907e-10,2.4059964413401624e-14,3.950065450225443e-15,1.2047543363304074e-11,3.707578514420093e-16,3.3467877690860945e-10,1.6142776598681315e-16,0.0,0.4634634634634491,2.8242000808649936e-10,4.99601368776024e-08,5.0156808202528736e-08,4.6252549085241236e-08,1.3356031525853195e-10,1.0219065661279048e-10,1.2439299088587985e-12,1.7635432991946576e-17,3.30404914672495e-17,1.7021834969643905e-22,7.15836739087155e-17,6.7936902132922006e-18
4.9097796142611425e-12,0.13078665606031512,0.46346346346346345,0.0,0.0,0.0,0.07307298583610451,0.0,6.762785210016095e-10,3.379841231550255e-14,5.5427502318503186e-15,1.6905304388000634e-11,6.166732120776576e-16,4.696166803982368e-10,2.265986935850901e-16,0.0,0.4634634634634437,3.4455509121077285e-10,5.9182805261268876e-08,5.945892380999219e-08,5.4738977032076305e-08,1.581807726300761e-10,1.2083816185650063e-10,1.7444722665807819e-12,2.4750826179461245e-17,5.4995437482256794e-17,2.8357649065116623e-22,1.0554422133313127e-16,1.1294993967058486e-17
5.6766518435785286e-12,0.13078665787290938,0.46346346346346345,0.0,0.0,0.0,0.07307297221032322,0.0,9.034166061960182e-10,4.519022888921876e-14,7.40275766251727e-15,2.2578479168222153e-11,9.52455765188993e-16,6.271999583791276e-10,3.027496857913688e-16,0.0,0.4634634634634374,4.09767563525178e-10,6.839761961336047e-08,6.876659477206253e-08,6.320209045947372e-08,1.8276945704428332e-10,1.3940279255319258e-10,2.3285189797675254e-12,3.3055992964297067e-17,8.497621080612704e-17,4.384507841791542e-22,1.462426954627822e-16,1.7437822597942585e-17
6.4435240728959146e-12,0.1307866596898895,0.46346346346346345,0.0,0.0,0.0,0.07307295858454316,0.0,1.1631951993918107e-09,5.823640927266525e-14,9.529362654857953e-15,2.906487459226684e-11,1.3920008378622072e-15,8.073662388542053e-10,3.898630029369569e-16,0.0,0.4634634634634306,4.780566074188061e-10,7.760458662115327e-08,7.80798130322815e-08,7.164195346477208e-08,2.0732643082005465e-10,1.5788494803601218e-10,2.995697445958405e-12,4.254562464872496e-17,1.2421848459663543e-16,6.412434700237137e-22,1.9366044969018883e-16,2.5474391453424063e-17
